game,release_date,price,score,userscore,metascore,owners,playtime,median_playtime,developer,publisher,genre
Dragon Adventure VR,2017-09-26,8.99,0.0,0.0,0.0,0,0.0,0.0,Buckoo Studio,Buckoo Studio,Adventure
Space Geekz - The Crunchy Flakes Conspiracy,2017-10-13,7.99,0.0,0.0,0.0,0,0.0,0.0,x86-Games,x86-Games,Adventure
Wyatt Derp,2016-05-27,0.99,1.0,27.0,0.0,0,0.0,0.0,Digital Homicide Studios LLC,Digital Homicide Studios LLC,Adventure
How to Fool a Liar King,2017-10-20,14.99,0.0,0.0,0.0,0,0.0,0.0,"Chu-3, Bakufu Narayama",roseVeRte,Adventure
Final Bravely,2017-01-05,3.99,0.0,0.0,0.0,0,0.0,0.0,Windam,Bravely,Adventure
Ariel,2017-07-11,9.99,0.0,0.0,0.0,0,0.0,0.0,Nuclear Fiction,Nuclear Fiction,Adventure
Otherworld: Shades of Fall Collector's Edition,2017-09-21,12.99,0.0,0.0,0.0,0,0.0,0.0,Boomzap Entertainment,Big Fish Games,Adventure
DNO Rasa's Journey,2015-06-01,2.99,0.0,0.0,0.0,0,0.0,0.0,EZDesigner,EZDesigner,Adventure
The Rosebud Condominium,2017-08-09,9.99,0.0,0.0,0.0,0,0.0,0.0,Blue Salt Games,Plug In Digital,Adventure
Jewel bits,2016-12-21,6.99,0.0,0.0,0.0,0,0.0,0.0,Mysia Games,Mysia Games,Adventure
Gamers Unknown Survival,2017-09-10,8.99,0.0,0.0,0.0,0,0.0,0.0,GCTV DevTeam,GamerCrewTV,Adventure
Why So Evil,2014-11-10,0.0,13.0,56.0,0.0,0,0.0,0.0,Zonitron Productions,Zonitron Productions,Adventure
Inside The Code,2016-01-08,6.99,0.0,0.0,0.0,0,0.0,0.0,CPsoft,CPsoft,Adventure
Dark: Frontier,2017-07-27,9.99,0.0,0.0,0.0,0,0.0,0.0,PotatoFaceGames,PotatoFaceGames,Adventure
Perch,2017-01-05,7.99,0.0,0.0,0.0,0,0.0,0.0,Douglas Liang,Fantom Fathom LLC,Adventure
Strike Team Hydra,2017-12-08,5.99,0.0,0.0,0.0,0,0.0,0.0,Wave Light Games Inc.,Wave Light Games Inc.,Adventure
Blood Harvest 2,2017-12-08,2.79,0.0,0.0,0.0,0,0.0,0.0,BekkerDev Studio,Artalasky,Adventure
Spirits: Ciel Bleu,2017-07-07,14.99,0.0,0.0,0.0,0,0.0,0.0,Lucascubestudios,Lucascubestudios,Adventure
Ukrainian ball in search of gas,2017-12-08,0.69,0.0,0.0,0.0,0,0.0,0.0,"Nikita ""Ghost_RUS""",Ghost_RUS Games,Adventure
Sable Maze: Norwich Caves Collector's Edition,2017-11-13,12.99,0.0,0.0,0.0,0,0.0,0.0,Daily Magic Productions,Big Fish Games,Adventure
Awakening: The Redleaf Forest Collector's Edition,2016-03-28,9.99,0.0,0.0,0.0,0,0.0,0.0,Boomzap Entertainment,Big Fish Games,Adventure
Realms of Magic,2017-12-06,8.99,0.0,0.0,0.0,0,0.0,0.0,Polished Games,Polished Games,Adventure
Zarya-1: Mystery on the Moon,2017-05-30,3.99,0.0,0.0,0.0,0,0.0,0.0,Your Story Interactive,Plug In Digital,Adventure
Through The Dark: Prologue,2017-05-24,9.99,0.0,0.0,0.0,0,0.0,0.0,6waves,6waves,Adventure
Nukklerma: Robot Warfare,2017-01-04,3.99,0.0,0.0,0.0,0,0.0,0.0,KerboGames,KerboGames,Adventure
Epic Battle Simulator 2,2017-11-02,4.99,0.0,0.0,0.0,0,0.0,0.0,Rappid Studios,Rappid Studios,Adventure
Hallowed Encounter,2017-11-02,3.99,0.0,0.0,0.0,0,0.0,0.0,Alpha Pack Studios,"Handle Consolidated, LLC.",Adventure
Anime! Oi history!,2017-01-19,0.99,0.0,0.0,0.0,0,0.0,0.0,DigM Publishing,DigM Publishing,Adventure
The Dawn-First War,2016-12-29,9.99,0.0,0.0,0.0,0,0.0,0.0,视趣互动科技有限公司,视趣互动科技有限公司,Adventure
Shiyang teaches you to learn disaster prevention,2017-04-03,0.99,0.0,0.0,0.0,0,0.0,0.0,ChemBlock,ChemBlock,Adventure
PolyKat,2017-09-06,14.99,0.0,0.0,0.0,0,0.0,0.0,LaruaGames,LaruaGames,Adventure
Breaking Wheel,2017-04-03,4.99,0.0,0.0,0.0,0,0.0,0.0,Insane Mind Games,Insane Mind Games,Adventure
GUNNVR,2017-03-28,2.99,0.0,0.0,0.0,0,0.0,0.0,Artificient Games Inc.,Artificient Games Inc.,Adventure
Storms of Shambhala,2017-10-11,9.99,0.0,0.0,0.0,0,0.0,0.0,Corwin Peters,Mythos Method,Adventure
City Rush,2017-03-22,9.99,0.0,0.0,0.0,0,0.0,0.0,"Liam Swetnam, Alex Swetnam",Liam Swetnam,Adventure
Luna and the Moonling,2017-08-29,9.99,0.0,0.0,0.0,0,0.0,0.0,Greyborn Studios,Greyborn Studios,Adventure
Loot Collection: Mahjong,2017-10-05,1.33,0.0,0.0,0.0,0,0.0,0.0,Myarcadegames Studios,Myarcadegames Studios,Adventure
Crazy Flying Squirrel,2017-09-20,0.59,0.0,0.0,0.0,0,0.0,0.0,KAV Studio,KAV Studio,Adventure
Afro Samurai 2: Revenge of Kuma Volume One,2015-09-22,0.0,0.0,0.0,0.0,0,0.0,0.0,Redacted Studios,Versus Evil,Adventure
Asher,2016-10-31,5.99,0.0,0.0,0.0,0,0.0,0.0,Danl2o2o,Danl2o2o,Adventure
Vaping Simulator,2017-09-15,0.74,23.0,66.0,0.0,0,0.0,0.0,RedSquare Studios,bcInteractive,Adventure
Space Waver,2017-09-07,4.99,0.0,0.0,0.0,0,0.0,0.0,Grégory Joerger,Grégory Joerger,Adventure
MegaRats,2016-11-03,4.99,0.0,0.0,0.0,0,0.0,0.0,Red Frizbee Studios,Jam-Live,Adventure
Dark Parables: The Thief and the Tinderbox Collector's Edition,2016-09-22,9.99,0.0,0.0,0.0,0,0.0,0.0,Eipix Entertainment,Big Fish Games,Adventure
KEK Story,2017-03-06,0.0,0.0,0.0,0.0,0,0.0,0.0,Sultan.emr,"DIAMOND FOX, Chaiker",Adventure
Wanderer: The Rebirth,2017-01-11,6.99,0.0,0.0,0.0,0,0.0,0.0,"Chengdu Wooway Technologies Co., Ltd","Chengdu Wooway Technologies Co., Ltd",Adventure
The Garden,2016-09-06,0.99,0.0,0.0,0.0,0,0.0,0.0,Pug & Dragon,Pug & Dragon,Adventure
Violet's Dream VR,2017-03-06,4.99,0.0,0.0,0.0,0,0.0,0.0,华夏动漫,华夏动漫,Adventure
Blink,2017-03-10,6.99,0.0,0.0,0.0,0,0.0,0.0,nextReality Games,nextReality Games,Adventure
Midnight at the Celestial Palace: Chapter I,2017-02-24,9.99,0.0,0.0,0.0,0,0.0,0.0,"Orrery Games, Blip Haus Design",Orrery Games,Adventure
Black Mist,2017-08-04,4.99,0.0,0.0,0.0,0,0.0,0.0,Nyan_Fort,Nyan_Fort,Adventure
Robot's Mystery,2017-11-29,3.99,0.0,0.0,0.0,0,0.0,0.0,"Tomer Caner, Nitay Parnes",Indie,Adventure
Gilbert Goodmate and the Mushroom of Phungoria,2015-06-23,7.99,0.0,0.0,0.0,0,0.0,0.0,Prelusion Games,Games4Kids,Adventure
CG the Seven Virus Knights,2017-12-05,4.79,0.0,0.0,0.0,0,0.0,0.0,Ryan Carlos,Ryan Carlos,Adventure
History in Letters - The Eternal Alchemist,2015-12-08,7.99,0.0,0.0,0.0,0,0.0,0.0,Z-Software,Z-Software GmbH,Adventure
Journey of Johann,2017-05-18,7.99,0.0,0.0,0.0,0,0.0,0.0,Apapappa Games,Apapappa Games,Adventure
sWORD MASTER,2017-12-03,2.99,0.0,0.0,0.0,0,0.0,0.0,Studio 1983,Studio 1983,Adventure
CUBOTS The Origins,2017-08-04,2.99,0.0,0.0,0.0,0,0.0,0.0,Street Lamp Games,Street Lamp Games,Adventure
Going Nowhere: The Dream,2017-11-22,7.99,0.0,0.0,0.0,0,0.0,0.0,Nowhere Town,Nowhere Town,Adventure
The Crane Trials: Red Edition,2017-04-19,4.99,0.0,0.0,0.0,0,0.0,0.0,Liam Swetnam,Liam Swetnam,Adventure
DÃ©sirÃ©,2016-05-10,8.99,31.0,72.0,0.0,0,0.0,0.0,Sylvain Seccia,Sylvain Seccia,Adventure
Yozora Rhapsody,2017-03-16,6.99,0.0,0.0,0.0,0,0.0,0.0,Yume Creations,Yume Creations,Adventure
Bottle_Shooter,2017-09-11,0.99,0.0,0.0,0.0,0,0.0,0.0,"Shanghai ThinkingBear Network Technology Co.,Ltd","Shanghai ThinkingBear Network Technology Co.,Ltd",Adventure
Ride with son,2017-11-15,0.99,0.0,0.0,0.0,0,0.0,0.0,bch waves,bch waves,Adventure
Gnomes & Goblins (preview),2016-09-08,0.0,95.0,96.0,0.0,0,0.0,0.0,"Wevr, Inc.","Wevr, Inc., Reality One",Adventure
Middle Ages Hero,2017-09-22,0.49,0.0,0.0,0.0,0,0.0,0.0,DEMENCI,DEMENCI,Adventure
Piximalism,2016-12-13,0.49,0.0,0.0,0.0,0,0.0,0.0,Shevchenko Technology,iwgg Publishing,Adventure
The Bits That Saved The Universe,2016-12-29,2.99,0.0,0.0,0.0,0,0.0,0.0,James C. Gray,James C. Gray,Adventure
Relic Keepers,2017-09-12,1.99,0.0,0.0,0.0,0,0.0,0.0,Idea Cabin,Idea Cabin,Adventure
Endless Dream,2017-08-18,9.99,0.0,0.0,0.0,0,0.0,0.0,Lost in Pixels,Lost in Pixels,Adventure
Teratini VR,2016-12-21,9.99,0.0,0.0,0.0,0,0.0,0.0,Shiny Moss,Shiny Moss,Adventure
Brave,2017-08-18,0.99,0.0,0.0,0.0,0,0.0,0.0,Grean,Grean,Adventure
Danse Macabre: The Last Adagio Collector's Edition,2016-11-09,9.99,0.0,0.0,0.0,0,0.0,0.0,Eipix Entertainment,Big Fish Games,Adventure
Sayaka,2017-01-04,0.99,1.0,20.0,0.0,0,0.0,0.0,RyuVsCloud,RyuVsCloud,Adventure
Princess Sahirah is a Spoiled Brat!,2017-07-22,2.99,0.0,0.0,0.0,0,0.0,0.0,Corey Wurts,Corey Wurts,Adventure
Corridor 15,2017-11-29,4.99,0.0,0.0,0.0,0,0.0,0.0,aDeCon Production,aDeCon Production,Adventure
Adelantado Trilogy. Book Two,2017-12-01,4.99,0.0,0.0,0.0,0,0.0,0.0,Realore,Qumaron,Adventure
Take the Cake,2017-11-28,9.99,0.0,0.0,0.0,0,0.0,0.0,Ebenit,Ebenit,Adventure
DinoOps,2016-10-05,0.99,0.0,0.0,0.0,0,0.0,0.0,BUG-Studio,BUG-Studio,Adventure
Amazeing Lemons,2017-12-06,2.99,0.0,0.0,0.0,0,0.0,0.0,ExtinctionArts,ExtinctionArts,Adventure
The Sorceress,2017-02-01,4.99,0.0,0.0,0.0,0,0.0,0.0,Karabas_Studio,Karabas_Studio,Adventure
Knightfall,2017-09-04,9.99,0.0,0.0,0.0,0,0.0,0.0,Static City Games,Static City Games,Adventure
Myths of the World: Stolen Spring Collector's Edition,2017-05-31,9.99,0.0,0.0,0.0,0,0.0,0.0,Eipix Entertainment,Big Fish Games,Adventure
Shadows in the Darkness,2017-10-19,19.99,0.0,0.0,0.0,0,0.0,0.0,Scornz,Scornz,Adventure
Birthseederia,2017-08-16,9.99,0.0,0.0,0.0,0,0.0,0.0,Onefurinthebox,Onefurinthebox,Adventure
"FL337 - ""Fleet""",2017-06-20,4.99,0.0,0.0,0.0,0,0.0,0.0,KWL Productions,KWL Productions,Adventure
Light of Mine,2017-10-30,6.99,0.0,0.0,0.0,0,0.0,0.0,nonPareil Studios,nonPareil Institute,Adventure
Twilight Phenomena: The Lodgers of House 13 Collector's Edition,2017-03-27,9.99,0.0,0.0,0.0,0,0.0,0.0,ERS G Studios,Big Fish Games,Adventure
Stitched,2017-10-30,7.99,0.0,0.0,0.0,0,0.0,0.0,Fluffex Studios,Fluffex Studios,Adventure
Valortha,2017-01-26,4.99,0.0,0.0,0.0,0,0.0,0.0,RyuVsCloud,RyuVsCloud,Adventure
A Dream For Aaron,2017-10-12,7.99,0.0,0.0,0.0,0,0.0,0.0,Vidas Salavejus,Vidas Salavejus,Adventure
Unsettled,2017-11-22,9.99,0.0,0.0,0.0,0,0.0,0.0,Field of View CE,Field of View CE,Adventure
Hello From Indiana,2016-12-09,0.49,0.0,0.0,0.0,0,0.0,0.0,POWER Industries,POWER Industries,Adventure
Chaos Battle,2017-10-13,5.99,0.0,0.0,0.0,0,0.0,0.0,绿叶工作室,绿叶工作室,Adventure
Fatal Passion: Art Prison Collector's Edition,2017-02-27,9.99,0.0,0.0,0.0,0,0.0,0.0,Orneon Limited,Big Fish Games,Adventure
Glo,2017-10-23,4.99,0.0,0.0,0.0,0,0.0,0.0,Chronik Spartan,Chronik Spartan,Adventure
Demon Blade VR,2017-09-14,5.99,0.0,0.0,0.0,0,0.0,0.0,Monkeys Crowd Entertainment,Monkeys Crowd Entertainment,Adventure
Convicted Galaxy,2017-02-09,14.99,0.0,0.0,0.0,0,0.0,0.0,Mind Grown Software,Mind Grown Software,Adventure
The Final Frontier: Space Simulator,2016-06-30,0.99,0.0,0.0,0.0,0,0.0,0.0,Vault Interactive,Vault Interactive,Adventure
Mr. Barrel,2017-10-06,1.99,0.0,0.0,0.0,0,0.0,0.0,Fürst,Fürst,Adventure
Nightmare Adventures: The Witch's Prison,2016-08-29,6.99,0.0,0.0,0.0,0,0.0,0.0,Ghost Ship Studios,Big Fish Games,Adventure
The Mice of Riddle Place: The Incident of Izzy Ramirez,2017-09-01,9.99,0.0,0.0,0.0,0,0.0,0.0,"Meadowlark Science and Education, LLC","Meadowlark Science and Education, LLC",Adventure
Vermillion Watch: Moorgate Accord Collector's Edition,2016-06-23,13.99,0.0,0.0,0.0,0,0.0,0.0,Eipix Entertainment,Big Fish Games,Adventure
Mahjong Challenge,2017-08-22,2.99,0.0,0.0,0.0,0,0.0,0.0,Boogygames Studios,Boogygames Studios,Adventure
Fallalypse,2017-09-12,6.99,0.0,0.0,0.0,0,0.0,0.0,hede,hede,Adventure
Holo-Graham,2017-02-20,3.99,0.0,0.0,0.0,0,0.0,0.0,TarbuttonStudio,TarbuttonStudio,Adventure
Run For Coins,2017-08-03,4.99,0.0,0.0,0.0,0,0.0,0.0,LSTGames,LSTGames,Adventure
7 days with Death,2017-10-13,9.99,0.0,0.0,0.0,0,0.0,0.0,"Narrator, Storia",Narrator,Adventure
Roads of Rome: New Generation,2017-12-05,4.99,0.0,0.0,0.0,0,0.0,0.0,Realore,Qumaron,Adventure
Venture Forth,2017-06-20,9.99,0.0,0.0,0.0,0,0.0,0.0,Arclight Worlds,Indie Voyage,Adventure
EX0: Dark Moon,2017-12-08,0.99,0.0,0.0,0.0,0,0.0,0.0,Pixel Six Games,Pixel Six Games,Adventure
Deep Sorrow,2017-11-12,3.99,0.0,0.0,0.0,0,0.0,0.0,QuickSave,QuickSave,Adventure
Choice of the Rock Star,2017-11-17,3.99,0.0,0.0,0.0,0,0.0,0.0,Choice of Games,Choice of Games,Adventure
Suppressed,2016-10-12,2.99,0.0,0.0,0.0,0,0.0,0.0,Zephyo,Zephyo,Adventure
Lander 8009 VR,2017-06-16,14.99,0.0,0.0,0.0,0,0.0,0.0,Ivanovich Games,Ivanovich Games,Adventure
Whitetail Challenge,2016-06-20,3.99,0.0,0.0,0.0,0,0.0,0.0,PSR Outdoors,PSR Outdoors,Adventure
The Slaughtering Grounds,2014-10-31,0.99,3.0,35.0,0.0,0,0.0,0.0,Digital Homicide Studios,Digital Homicide Studios,Adventure
Roman Sacrifice in Crdoba,2017-11-06,1.99,0.0,0.0,0.0,0,0.0,0.0,Lithodomos VR,Lithodomos VR,Adventure
Immersive Poetry,2017-10-16,2.99,0.0,0.0,0.0,0,0.0,0.0,Thalasse Games,Thalasse Games,Adventure
Nightmare Adventures: The Turning Thorn,2017-04-17,6.99,0.0,0.0,0.0,0,0.0,0.0,Ghost Ship Studios,Big Fish Games,Adventure
The Lost Wizard,2017-10-19,3.99,0.0,0.0,0.0,0,0.0,0.0,Firestorm Entertainment,Firestorm Entertainment,Adventure
Galactic Adventures,2016-10-13,3.99,0.0,0.0,0.0,0,0.0,0.0,Real Games Studios,Radostin Stoychev,Adventure
Don't Be Patchman,2017-10-19,9.99,0.0,0.0,0.0,0,0.0,0.0,Naturally Intelligent,,Adventure
Nother: an indie souls-like,2016-12-13,9.99,0.0,0.0,0.0,0,0.0,0.0,Nick Everlith,Ryzal Games,Adventure
Torch Cave 2,2016-09-28,3.99,11.0,53.0,0.0,0,0.0,0.0,Zonitron Productions,Zonitron Productions,Adventure
Cube Master: Light Adventure,2017-01-28,0.99,0.0,0.0,0.0,0,0.0,0.0,BeaverKnight,Obidak Software,Adventure
The Museum of ThroughView,2017-08-17,9.99,0.0,0.0,0.0,0,0.0,0.0,Erwin Wolf,"MarWin Studios, ThroughView",Adventure
Nightmare at the lighthouse,2017-08-14,4.99,0.0,0.0,0.0,0,0.0,0.0,LsgStudio,Bill Lazos,Adventure
Deadly Profits,2015-05-29,1.99,3.0,36.0,0.0,0,0.0,0.0,Digital Homicide Studios,Digital Homicide Studios,Adventure
Witches' Legacy: The Ties That Bind Collector's Edition,2016-06-20,9.99,0.0,0.0,0.0,0,0.0,0.0,EleFun Games,Big Fish Games,Adventure
Radioactive,2017-07-10,11.24,0.0,0.0,0.0,0,0.0,0.0,Dissident Interactive,Dissident Interactive,Adventure
Cube Creatures,2017-07-28,1.99,0.0,0.0,0.0,0,0.0,0.0,Chu Xiaosong,Chu Xiaosong,Adventure
The Beard in the Mirror,2016-10-25,8.99,0.0,0.0,0.0,0,0.0,0.0,"Oh, a Rock! Studios","Oh, a Rock! Studios",Adventure
The war god : The artifact,2017-07-21,5.99,0.0,0.0,0.0,0,0.0,0.0,Zhejiang TQHY Technology,Zhejiang TQHY Technology,Adventure
Underdone,2017-09-12,4.99,0.0,0.0,0.0,0,0.0,0.0,The Commander,The Commander,Adventure
Space Odyssey,2017-06-26,0.99,0.0,0.0,0.0,0,0.0,0.0,bcInteractive,bcInteractive,Adventure
Reginald Does His Thang,2017-12-06,7.19,0.0,0.0,0.0,0,0.0,0.0,Epic Banana Games LLC,Epic Banana Games LLC,Adventure
Devil In The Capital,2017-07-04,9.99,0.0,0.0,0.0,0,0.0,0.0,RSK Entertainment,Strategy First,Adventure
Fariwalk: The Prelude,2017-11-23,1.99,0.0,0.0,0.0,0,0.0,0.0,AIHASTO,AIHASTO,Adventure
Pyramid VR,2017-08-31,7.99,0.0,0.0,0.0,0,0.0,0.0,"Christopher Meyer, Alvaro Urrutia Luna",Notso Entertaining Productions,Adventure
Maze of GaeaReal Maze VR Simulation,2017-11-24,4.99,0.0,0.0,0.0,0,0.0,0.0,TiStar Game,TiStar Game,Adventure
NC Tower Defense 2,2017-05-29,4.99,0.0,0.0,0.0,0,0.0,0.0,Dincicode,Dincicode,Adventure
Minimancer,2017-11-17,5.99,0.0,0.0,0.0,0,0.0,0.0,James Flannery,James Flannery,Adventure
Final Cut: Encore Collector's Edition,2017-04-14,9.99,0.0,0.0,0.0,0,0.0,0.0,Eipix Entertainment,Big Fish Games,Adventure
Onironauta,2017-10-09,1.99,0.0,0.0,0.0,0,0.0,0.0,PianoB Studio,PianoB Studio,Adventure
Fidget Spinner Editor,2017-10-09,0.66,0.0,0.0,0.0,0,0.0,0.0,Myarcadegames Studios,Myarcadegames Studios,Adventure
Surface: Game of Gods Collector's Edition,2017-09-11,12.99,0.0,0.0,0.0,0,0.0,0.0,Elephant Games,Big Fish Games,Adventure
Awakening: The Golden Age Collector's Edition,2017-02-01,9.99,0.0,0.0,0.0,0,0.0,0.0,Boomzap Entertainment,Big Fish Games,Adventure
Dead Inside,2017-03-31,0.99,0.0,0.0,0.0,0,0.0,0.0,bcInteractive,bcInteractive,Adventure
Grim Facade: Mystery of Venice Collectors Edition,2016-11-18,9.99,0.0,0.0,0.0,0,0.0,0.0,ERS G Studios,Big Fish Games,Adventure
Neofeud,2017-09-19,14.99,0.0,0.0,0.0,0,0.0,0.0,Silver Spook Games,Silver Spook Games,Adventure
Alone in the Dark 3,2016-12-13,14.99,0.0,0.0,0.0,0,0.0,0.0,Infogrames,Atari,Adventure
Skeleton Sprint,2017-10-31,1.99,0.0,0.0,0.0,0,0.0,0.0,"ScTiger, Delta",ScTiger,Adventure
Love Chronicles: The Sword and the Rose,2017-09-01,12.99,0.0,0.0,0.0,0,0.0,0.0,Vendel Games,Big Fish Games,Adventure
Blood of Old,2015-06-23,6.99,0.0,0.0,0.0,0,0.0,0.0,AndrewWatt96,AndrewWatt96,Adventure
Vault Resort,2017-08-11,5.99,0.0,0.0,0.0,0,0.0,0.0,Martin Simeth,Martin Simeth,Adventure
Catacomb Explorers,2016-10-22,0.49,0.0,0.0,0.0,0,0.0,0.0,iwgg Publishing,iwgg Publishing,Adventure
Whispered Secrets: The Story of Tideville Collector's Edition,2016-12-09,9.99,0.0,0.0,0.0,0,0.0,0.0,Grandma Studios,Big Fish Games,Adventure
Drone Zero Gravity,2015-10-02,9.99,0.0,0.0,0.0,0,0.0,0.0,Isaac Nichols,Isaac Nichols,Adventure
Brilliant Bob,2015-05-20,0.0,10.0,52.0,0.0,0,0.0,0.0,Zonitron Productions,Zonitron Productions,Adventure
Star Explorers,2017-05-08,4.99,0.0,0.0,0.0,0,0.0,0.0,Michael Klaus Schmidt,Michael Klaus Schmidt,Adventure
Delicious - Moms vs Dads,2017-12-12,9.74,0.0,0.0,0.0,0,0.0,0.0,GameHouse,GameHouse,Adventure
The Fog,2017-12-01,9.99,0.0,0.0,0.0,0,0.0,0.0,Horizon Games,Horizon Games,Adventure
Hover Bots VR,2017-07-14,4.99,0.0,0.0,0.0,0,0.0,0.0,Khizer Awan,Aplome Labs,Adventure
Last Stand,2016-12-27,2.99,0.0,0.0,0.0,0,0.0,0.0,视趣互动科技有限公司,视趣互动科技有限公司,Adventure
The 111th Soul,2017-12-05,1.69,0.0,0.0,0.0,0,0.0,0.0,Ricardo Pratas,Ricardo Pratas,Adventure
Ruction: The Golden Tablet,2017-01-31,9.99,0.0,0.0,0.0,0,0.0,0.0,Scott Richey,Ruction Games,Adventure
Dead Link: Pages Torn,2017-11-28,7.99,0.0,0.0,0.0,0,0.0,0.0,phime studio LLC,phime studio LLC,Adventure
Dragon Essence - Color My World -,2017-06-08,19.99,0.0,0.0,0.0,0,0.0,0.0,Zeiva Inc,Zeiva Inc,Adventure
ASTA : ASTA Server,2017-06-20,0.0,0.0,0.0,0.0,0,0.0,0.0,POLYGON GAMES,"Move Games. Co., LTD",Adventure
Lethis - Daring Discoverers,2017-06-08,12.99,0.0,0.0,0.0,0,0.0,0.0,Triskell Interactive,Triskell Interactive,Adventure
Yi and the Thousand Moons,2017-11-24,4.99,0.0,0.0,0.0,0,0.0,0.0,David Su,David Su,Adventure
Building Blocks / Master Builder of Egypt,2017-12-01,12.99,0.0,0.0,0.0,0,0.0,0.0,Gunia Studios,Gunia Studios,Adventure
Traps N' Gemstones,2015-04-16,4.99,0.0,0.0,0.0,0,0.0,0.0,Donut Games,Donut Games,Adventure
Beyond: Light Advent Collector's Edition,2017-05-05,9.99,0.0,0.0,0.0,0,0.0,0.0,Mad Head Games,Big Fish Games,Adventure
Questria: Rise of the Robot Skullfaces,2015-11-09,9.99,0.0,0.0,0.0,0,0.0,0.0,AltImage Games,AltImage Games,Adventure
Desert Craft,2017-10-31,6.99,0.0,0.0,0.0,0,0.0,0.0,Vitaly Titov,Vitaly Titov,Adventure
Midnight Calling: Anabel Collector's Edition,2017-04-06,9.99,0.0,0.0,0.0,0,0.0,0.0,Elephant Games,Big Fish Games,Adventure
Switch - Or Die Trying,2017-03-07,9.99,0.0,0.0,0.0,0,0.0,0.0,Threye Interactive,Threye Interactive,Adventure
Edmonton Trolley Car,2017-09-12,5.99,0.0,0.0,0.0,0,0.0,0.0,Gametrip,Gametrip,Adventure
Ominous Objects: Family Portrait Collector's Edition,2017-03-08,9.99,0.0,0.0,0.0,0,0.0,0.0,Daily Magic Productions,Big Fish Games,Adventure
VIRUS OF SURVIVORS:LIFE SIMULATOR,2017-09-16,9.99,0.0,0.0,0.0,0,0.0,0.0,Theodor Niklas,Theodor Niklas,Adventure
Hidden Object - Tools,2017-09-28,1.99,0.0,0.0,0.0,0,0.0,0.0,Boogygames Studios,Boogygames Studios,Adventure
Spirits of Mystery: Amber Maiden Collector's Edition,2016-08-19,9.99,0.0,0.0,0.0,0,0.0,0.0,ERS Games Studio,Big Fish Games,Adventure
Sobreviva - Low Poly,2017-08-23,1.99,0.0,0.0,0.0,0,0.0,0.0,Marafigogames,Marafigogames,Adventure
Dark Dimensions: Wax Beauty Collector's Edition,2017-08-24,12.99,0.0,0.0,0.0,0,0.0,0.0,Daily Magic Productions,Big Fish Games,Adventure
The Journey,2016-11-01,4.99,0.0,0.0,0.0,0,0.0,0.0,"Mugurel-Adrian Enache, Diana Marin",MD Lab Games,Adventure
Dark Cases: The Blood Ruby Collector's Edition,2017-01-11,9.99,0.0,0.0,0.0,0,0.0,0.0,Boolat Entertainment,Big Fish Games,Adventure
EPONYMOUS,2017-10-30,2.99,0.0,0.0,0.0,0,0.0,0.0,Minor Key Games,Minor Key Games,Adventure
OfficeBots: Reality Bytes [VR],2017-08-21,9.99,0.0,0.0,0.0,0,0.0,0.0,FutureStateMachine,FutureStateMachine,Adventure
Galaxy in eclipse,2017-01-16,0.99,0.0,0.0,0.0,0,0.0,0.0,POWER,POWER industries,Adventure
StickDodgeVR,2017-08-02,1.99,0.0,0.0,0.0,0,0.0,0.0,"Brian Underwood, Ben Makarechian",The StickDodgeVR Team,Adventure
Stand by you,2017-12-08,4.49,0.0,0.0,0.0,0,0.0,0.0,WATERPHOENIX.Inc,WATERPHOENIX.Inc,Adventure
Bullet VR,2017-07-17,4.99,0.0,0.0,0.0,0,0.0,0.0,Mugle Studio,Mugle Studio,Adventure
The adventure of Kroos,2017-12-06,8.99,0.0,0.0,0.0,0,0.0,0.0,M.J.H.X. Studio,M.J.H.X. Studio,Adventure
Return to Planet X,2017-10-17,4.99,0.0,0.0,0.0,0,0.0,0.0,Butterflyware,Butterflyware,Adventure
Robot Warriors,2017-12-04,2.99,0.0,0.0,0.0,0,0.0,0.0,Fabio Cunha,Fabio Cunha,Adventure
Factotum 90,2016-06-20,5.99,0.0,0.0,0.0,0,0.0,0.0,TACS Games,TACS Games,Adventure
Prince of Persia: The Forgotten Sands Digital Deluxe Edition,2010-06-08,19.99,0.0,0.0,0.0,0,0.0,0.0,Ubisoft,Ubisoft,Adventure
The Adventures of Sam Carlisle: The Hunt for the Lost Treasure,2017-11-01,9.99,0.0,0.0,0.0,0,0.0,0.0,Givit Game Studios (Pty) Ltd,Givit Game Studios (Pty) Ltd,Adventure
STATUS: INSANE,2017-11-13,4.99,0.0,0.0,0.0,0,0.0,0.0,Frostbullet,Frostbullet,Adventure
Epica,2016-10-07,9.99,0.0,0.0,0.0,0,0.0,0.0,RyuVsCloud,RyuVsCloud,Adventure
Pill Cosbi,2017-10-24,0.79,0.0,0.0,0.0,0,0.0,0.0,"RedSquare Studios, ZANAX",bcInteractive,Adventure
Eekeemoo - Splinters of the Dark Shard,2017-03-14,4.99,0.0,0.0,0.0,0,0.0,0.0,Cogg Games Ltd,Cogg Games Ltd,Adventure
Space Wrangler,2017-09-29,5.99,0.0,0.0,0.0,0,0.0,0.0,Bad Panda Games,Bad Panda Games,Adventure
Jumper Jape,2016-11-17,1.99,0.0,0.0,0.0,0,0.0,0.0,"Johan Wångsell, Jacob Torrång",Team Jape,Adventure
